,variety,country_of_origin,processing_method,harvest_year,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,country_code
856,Bourbon,Guatemala,Washed / Wet,2016,7.42,7.25,7.17,7.5,7.25,7.17,10,10,10,7.25,0.09,320
857,Caturra,Colombia,Washed / Wet,2016,7.67,7.5,7.42,5.25,7.67,7.75,10,10,10,7.75,0,170
858,Bourbon,Guatemala,Washed / Wet,2015,7.5,7.25,7,7.25,7.5,7.25,10,10,10,7.25,0.11,320
859,Caturra,Honduras,Natural / Dry,2014,7.42,7.25,7.25,7.33,7.25,7.17,10,10,10,7.33,0.12,340
860,Mundo Novo,Brazil,Natural / Dry,2014,7.67,7.75,7.83,7.75,7.83,7.75,10,6.67,10,7.75,0.12,76
861,Other,Uganda,Natural / Dry,2013,7.33,6.92,7.17,7.33,7.42,7.42,10,10,10,7.42,0.12,800
862,Caturra,Thailand,Washed / Wet,2012,7.33,7.42,7.25,7.42,7.25,7.17,10,10,10,7.17,0,764
863,Other,Mexico,Washed / Wet,2012,7.08,7.33,7.33,7.33,7.42,7.25,10,10,10,7.25,0.12,484
864,Typica,Mexico,Washed / Wet,2012,7.58,7.67,7.5,7.67,7.58,7.5,8,10,10,7.5,0,484
865,Bourbon,Guatemala,Washed / Wet,2017,7.67,7.67,7.33,7.58,7.67,7.5,9.33,9.33,9.33,7.5,0.1,320
866,Other,Others,Washed / Wet,2017,7.17,7.58,7.5,7.5,8,7.75,10,10,10,5.42,0.11,404
867,Bourbon,Mexico,Washed / Wet,2017,7.5,7.33,7.17,7.42,7.5,7.33,9.33,10,10,7.33,0.11,484
868,Other,Others,Other,2015,7.17,7.42,7,7.58,7.33,7,10,10,10,7.42,0,104
869,Yellow Bourbon,Brazil,Natural / Dry,2015,7.25,7.33,7.25,7.25,7.25,7.33,10,10,10,7.25,0.12,76
870,Bourbon,Brazil,Natural / Dry,2015,7.17,7.42,7.17,7.25,7.25,7.33,10,10,10,7.33,0.1,76
871,Caturra,Others,Washed / Wet,2013,7.33,7.08,7.25,7,7.5,7.42,10,10,10,7.33,0.1,558
872,Other,Guatemala,Washed / Wet,2014,7.58,7.42,6.92,7.5,7.25,7.17,10,10,10,7.08,0.12,320
873,Typica,Mexico,Washed / Wet,2012,7.58,7.33,7.08,7.5,7.17,7.25,10,10,10,7,0.13,484
874,Other,Thailand,Washed / Wet,2012,7.67,7.58,7.33,7.33,7.17,7,10,10,10,6.83,0,764
875,Caturra,Guatemala,Washed / Wet,2013,7.67,7.25,7.08,7.33,7.17,7.25,10,10,10,7.08,0.11,320
876,Catuai,Mexico,Semi-washed / Semi-pulped,2012,7.17,7.08,7.25,7.42,7.25,7.33,10,10,10,7.33,0.13,484
877,Typica,Mexico,Washed / Wet,2012,7.33,7.25,7.33,7.33,7.25,7.17,10,10,10,7.17,0.11,484
878,Bourbon,Mexico,Washed / Wet,2012,7.5,7.17,7.33,7.25,7.17,7.17,10,10,10,7.25,0.13,484
879,Caturra,Colombia,Washed / Wet,2010,7.33,7.33,7,6.83,7.33,7.67,10,10,10,7.33,0.01,170
880,Caturra,Brazil,Natural / Dry,2016,7.17,7.25,7.08,7.17,7.25,7.58,10,10,10,7.25,0,76
881,Catuai,Others,Washed / Wet,2015,6.92,7.5,7,7.58,7.5,7.08,10,10,10,7.17,0,104
882,Caturra,Guatemala,Washed / Wet,2015,7.5,7.33,7,7.42,7.17,7.17,10,10,10,7.17,0.12,320
883,Other,Others,Washed / Wet,2015,7.25,7.25,7.17,7.25,7.33,7.25,10,10,10,7.25,0.12,558
884,Caturra,Honduras,Natural / Dry,2015,7.5,7.33,7,7.42,7.25,7.17,10,10,10,7.08,0.11,340
885,Caturra,Others,Other,2014,7.25,7.33,7.17,7.33,7.33,7.17,10,10,10,7.17,0.11,591
886,Catuai,Honduras,Washed / Wet,2015,7.42,7.17,7.08,7.42,7.25,7.25,10,10,10,7.17,0.09,340
887,Catuai,Honduras,Natural / Dry,2015,7.25,7.33,7.08,7.5,7.25,7.33,10,10,10,7,0.13,340
