Unnamed: 0,total_cup_points,species,variety,country_of_origin,processing_method,harvest_year,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture
398,83.33,Arabica,Caturra,Colombia,Washed / Wet,2016,7.83,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,0
399,83.33,Arabica,Catuai,Brazil,Semi-washed / Semi-pulped,2016,7.5,7.83,7.33,7.58,7.58,7.92,10,10,10,7.58,0.1
400,83.33,Arabica,Caturra,Mexico,Washed / Wet,2014,7.75,7.75,7.5,7.67,7.5,7.58,10,10,10,7.58,0.12
401,83.33,Arabica,Caturra,Colombia,Washed / Wet,2015,7.67,7.75,7.42,7.83,7.83,7.42,10,10,10,7.42,0.11
402,83.33,Arabica,Other,"Tanzania, United Republic Of",Semi-washed / Semi-pulped,2014,7.75,7.58,7.67,7.58,7.58,7.58,10,10,10,7.58,0.12
403,83.33,Arabica,Other,Mexico,Washed / Wet,2013,7.67,7.67,7.58,7.67,7.5,7.58,10,10,10,7.67,0.12
404,83.33,Arabica,Caturra,Costa Rica,Washed / Wet,2014,7.67,7.67,7.42,7.67,7.67,7.67,10,10,10,7.58,0.12
405,83.33,Arabica,Hawaiian Kona,United States (Hawaii),Natural / Dry,2014,7.83,7.58,7.83,7.67,7.92,8,9.33,10,9.33,7.83,0.11
406,83.33,Arabica,Catuai,Costa Rica,Washed / Wet,2013,7.5,7.67,7.67,7.5,7.83,7.17,10,10,10,8,0.11
407,83.33,Arabica,Caturra,Others,Washed / Wet,2013,7.83,7.75,7.58,7.83,7.92,7.58,9.33,10,10,7.5,0.12
408,83.33,Arabica,Typica,Others,Washed / Wet,2012,7.58,7.5,7.67,7.5,7.83,7.42,10,10,10,7.83,0.11
409,83.33,Arabica,Caturra,Colombia,Natural / Dry,2013,7.67,7.67,7.5,7.67,7.92,7.42,10,10,10,7.5,0.11
410,83.33,Arabica,Bourbon,Guatemala,Washed / Wet,2013,7.83,7.67,7.17,7.67,7.67,7.67,10,10,10,7.67,0.11
411,83.33,Arabica,Hawaiian Kona,United States (Hawaii),Natural / Dry,2012,7.92,7.5,7.58,7.83,7.67,7.67,9.33,10,10,7.83,0.1
412,83.33,Arabica,Bourbon,Others,Washed / Wet,2012,7.75,7.67,7.33,7.5,7.5,7.75,10,10,10,7.83,0
413,83.33,Arabica,Caturra,Colombia,Washed / Wet,2012,7.5,7.67,7.67,7.58,7.67,7.58,10,10,10,7.67,0
414,83.33,Arabica,Caturra,United States (Hawaii),Washed / Wet,2012,8.08,7.83,7.83,7.75,7.67,7.58,9.33,10,9.33,7.92,0.01
415,83.33,Arabica,Caturra,United States (Hawaii),Washed / Wet,2012,7.58,7.67,7.58,7.5,7.83,7.67,10,10,10,7.5,0
416,83.25,Arabica,Typica,Mexico,Washed / Wet,2017,7.67,7.83,7.42,7.83,7.33,7.5,10,10,10,7.67,0.11
417,83.25,Arabica,Catuai,Costa Rica,Pulped natural / honey,2016,7.5,7.5,7.83,7.5,7.67,7.67,10,10,10,7.58,0.11
418,83.25,Arabica,Caturra,Costa Rica,Washed / Wet,2015,7.83,7.5,7.42,7.67,7.5,7.67,10,10,10,7.67,0.11
419,83.25,Arabica,Other,Guatemala,Washed / Wet,2016,7.5,7.58,7.42,7.83,7.67,7.58,10,10,10,7.67,0.11
420,83.25,Arabica,Other,Uganda,Washed / Wet,2015,7.5,7.67,7.67,7.42,7.67,7.67,10,10,10,7.67,0.12
421,83.25,Arabica,Caturra,Brazil,Washed / Wet,2016,7.58,7.67,7.42,7.5,7.67,7.42,10,10,10,8,0.12
422,83.25,Arabica,Caturra,Colombia,Natural / Dry,2016,7.58,7.67,7.67,7.17,7.75,7.83,10,10,10,7.58,0
423,83.25,Arabica,Typica,Mexico,Natural / Dry,2015,7.83,7.75,7.5,7.58,7.58,7.58,10,10,10,7.42,0.12
424,83.25,Arabica,Bourbon,Taiwan,Washed / Wet,2015,7.67,7.5,7.5,7.5,7.67,7.83,10,10,10,7.58,0.1
425,83.25,Arabica,Typica,Taiwan,Washed / Wet,2014,7.92,7.83,7.75,7.58,7.5,7.33,10,10,10,7.33,0.1
426,83.25,Arabica,Caturra,Colombia,Natural / Dry,2014,7.58,7.58,7.5,7.58,7.58,7.75,10,10,10,7.67,0
427,83.25,Arabica,Caturra,Guatemala,Washed / Wet,2014,7.5,7.67,7.58,7.67,7.67,7.5,10,10,10,7.67,0.1
428,83.25,Arabica,Caturra,Colombia,Washed / Wet,2013,7.83,7.5,7.67,7.33,7.67,7.67,10,10,10,7.58,0.11
429,83.25,Arabica,Bourbon,Mexico,Washed / Wet,2013,7.58,7.75,7.5,7.5,7.58,7.58,10,10,10,7.75,0.12
430,83.25,Arabica,Hawaiian Kona,United States (Hawaii),Natural / Dry,2012,7.58,7.75,7.83,8,8.08,7.67,9.33,10,9.33,7.67,0.11
431,83.25,Arabica,Mundo Novo,Mexico,Washed / Wet,2012,7.75,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,0.13
432,83.25,Arabica,Caturra,Mexico,Washed / Wet,2012,7.75,7.75,7.42,7.92,7.33,7.5,10,10,10,7.58,0.12
433,83.25,Arabica,Bourbon,Guatemala,Washed / Wet,2012,7.83,7.58,7.08,7.83,7.42,8.08,10,10,10,7.42,0.11
434,83.25,Arabica,Yellow Bourbon,Brazil,Semi-washed / Semi-pulped,2012,7.75,7.67,7.5,7.58,7.58,7.58,10,10,10,7.58,0.11
435,83.25,Arabica,Caturra,Colombia,Washed / Wet,2012,7.67,7.58,7.58,7.42,7.83,7.58,10,10,10,7.58,0.12
436,83.25,Arabica,Caturra,Colombia,Washed / Wet,2012,7.67,7.67,7.5,7.5,7.58,7.67,10,10,10,7.67,0.11
437,83.25,Arabica,Caturra,Colombia,Washed / Wet,2011,7.92,7.75,7.25,7.42,7.83,7.58,10,10,10,7.5,0.08
438,83.25,Arabica,Caturra,Colombia,Washed / Wet,2010,8,7.67,7.67,7.25,7.67,7.5,10,10,10,7.5,0.13
439,83.25,Arabica,Caturra,Colombia,Washed / Wet,2010,7.92,7.75,7.5,7.42,7.42,7.67,10,10,10,7.58,0.04
440,83.17,Arabica,Bourbon,Brazil,Natural / Dry,2018,7.67,7.42,7.5,7.58,7.67,7.58,10,10,10,7.75,0.11
441,83.17,Arabica,Bourbon,Guatemala,Washed / Wet,2017,7.58,7.58,7.33,7.67,7.75,7.58,10,10,10,7.67,0.1
442,83.17,Arabica,Bourbon,"Tanzania, United Republic Of",Washed / Wet,2016,7.67,7.58,7.42,7.67,7.67,7.58,10,10,10,7.58,0.12
443,83.17,Arabica,Caturra,Others,Washed / Wet,2017,7.92,7.5,7.5,7.58,7.67,7.5,10,10,10,7.5,0.11
444,83.17,Arabica,Other,Others,Natural / Dry,2017,7.58,7.42,7.08,7.33,7.58,8.58,10,10,10,7.58,0.07
445,83.17,Arabica,Caturra,Guatemala,Washed / Wet,2016,7.67,7.75,7.42,7.75,7.58,7.5,10,10,10,7.5,0.11
446,83.17,Arabica,Catuai,Honduras,Washed / Wet,2016,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,0.11
447,83.17,Arabica,Other,Others,Washed / Wet,2015,7.5,7.67,7.33,7.67,7.67,7.67,10,10,10,7.67,0.11
448,83.17,Arabica,Other,Others,Washed / Wet,2015,7.67,7.67,7.5,7.67,7.42,7.58,10,10,10,7.67,0.1
449,83.17,Arabica,Bourbon,Others,Washed / Wet,2016,7.5,7.5,7.33,7.67,8,7.67,10,10,10,7.5,0
450,83.17,Arabica,Bourbon,Guatemala,Washed / Wet,2015,7.5,7.75,7.5,7.83,7.58,7.5,10,10,10,7.5,0.11
451,83.17,Arabica,Bourbon,Guatemala,Washed / Wet,2015,7.92,7.67,7.42,7.75,7.5,7.5,10,10,10,7.42,0.12
452,83.17,Arabica,Other,Others,Washed / Wet,2014,7.83,7.75,7.67,7.75,7.83,8.5,9.33,9.33,9.33,7.83,0.1
453,83.17,Arabica,Caturra,Thailand,Washed / Wet,2014,7.67,7.58,7.58,7.75,7.42,7.67,10,10,10,7.5,0.12
454,83.17,Arabica,Other,"Tanzania, United Republic Of",Washed / Wet,2014,7.58,7.67,7.67,7.58,7.42,7.58,10,10,10,7.67,0.13
455,83.17,Arabica,Caturra,Colombia,Washed / Wet,2014,7.58,7.5,7.5,7.67,7.5,7.67,10,10,10,7.75,0
456,83.17,Arabica,Other,Uganda,Washed / Wet,2014,8,7.67,7.5,7.42,7.33,7.58,10,10,10,7.67,0.1
457,83.17,Arabica,Caturra,Colombia,Washed / Wet,2014,7.58,7.75,7.5,7.58,7.58,7.58,10,10,10,7.58,0.11
458,83.17,Arabica,Catuai,Honduras,Natural / Dry,2013,7.5,7.5,7.5,7.67,7.67,7.67,10,10,10,7.67,0.1
459,83.17,Arabica,Caturra,Honduras,Natural / Dry,2015,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,0.11
460,83.17,Arabica,Catuai,Guatemala,Washed / Wet,2014,7.33,7.83,7.17,8.17,7.33,7.67,10,10,10,7.67,0.09
461,83.17,Arabica,Hawaiian Kona,United States (Hawaii),Natural / Dry,2013,7.5,7.5,7.58,7.42,7.92,7.67,10,10,10,7.58,0.11
462,83.17,Arabica,Bourbon,"Tanzania, United Republic Of",Washed / Wet,2014,7.58,7.5,7.58,7.75,7.58,7.58,10,10,10,7.58,0.12
463,83.17,Arabica,Bourbon,Guatemala,Washed / Wet,2013,7.67,7.83,7.33,7.67,7.5,7.67,10,10,10,7.5,0.11
464,83.17,Arabica,Typica,Mexico,Washed / Wet,2013,7.75,7.58,7.58,7.58,7.5,7.42,10,10,10,7.75,0.11
465,83.17,Arabica,Typica,Mexico,Washed / Wet,2012,7.75,7.67,7.58,7.5,7.42,7.58,10,10,10,7.67,0.12
466,83.17,Arabica,Other,Mexico,Washed / Wet,2012,7.58,7.75,7.42,7.67,7.5,7.58,10,10,10,7.67,0.14
467,83.17,Arabica,Caturra,Colombia,Washed / Wet,2012,7.67,7.5,7.5,7.5,7.58,8.17,10,10,10,7.25,0.11
468,83.17,Arabica,Typica,Mexico,Washed / Wet,2012,7.75,7.5,7.42,7.75,7.58,7.58,10,10,10,7.58,0.13
469,83.17,Arabica,Caturra,Colombia,Washed / Wet,2012,7.58,7.67,7.5,7.58,7.67,7.67,10,10,10,7.5,0.11
470,83.17,Arabica,Typica,Mexico,Washed / Wet,2012,7.5,7.75,7.58,7.58,7.67,7.5,10,10,10,7.58,0.11
471,83.17,Arabica,Mundo Novo,Brazil,Natural / Dry,2012,7.75,7.67,7.58,7.5,7.58,7.58,10,10,10,7.5,0.12
472,83.17,Arabica,Mundo Novo,Brazil,Natural / Dry,2012,7.92,7.58,7.5,7.58,7.42,7.5,10,10,10,7.67,0.11
473,83.17,Arabica,Bourbon,Guatemala,Washed / Wet,2012,7.75,7.5,7.67,7.5,7.92,8,10,10,9.33,7.5,0
474,83.17,Arabica,Mundo Novo,Brazil,Semi-washed / Semi-pulped,2011,7.75,7.5,7.58,7.5,7.75,7.5,10,10,10,7.58,0.12
475,83.17,Arabica,Caturra,Brazil,Washed / Wet,2011,7.58,7.75,7.67,7.5,7.67,7.58,10,10,10,7.42,0.02
476,83.17,Arabica,Caturra,Others,Washed / Wet,2011,7.42,7.83,8.17,8.08,7.17,7.58,10,9.33,10,7.58,0.14
477,83.17,Arabica,Caturra,Ethiopia,Washed / Wet,2012,7.75,8,7.67,8.08,7.83,7.92,9.33,9.33,9.33,7.92,0.01
478,83.08,Arabica,Caturra,Colombia,Washed / Wet,2016,7.58,7.67,7.33,7.67,7.75,7.58,10,10,10,7.5,0
479,83.08,Arabica,Caturra,Colombia,Washed / Wet,2016,7.75,7.5,7.5,7.42,8,7.75,10,10,10,7.17,0
480,83.08,Arabica,Yellow Bourbon,Brazil,Pulped natural / honey,2015,7.58,7.58,7.58,7.5,7.67,7.58,10,10,10,7.58,0.11
481,83.08,Arabica,Yellow Bourbon,Brazil,Natural / Dry,2016,7.33,7.67,7.67,7.33,7.75,7.42,10,10,10,7.92,0
482,83.08,Arabica,Typica,Taiwan,Natural / Dry,2015,7.83,7.92,7.5,7.83,7.67,7.25,9.33,10,10,7.75,0
483,83.08,Arabica,Mundo Novo,Brazil,Natural / Dry,2015,7.42,7.67,7.58,7.5,7.75,7.67,10,10,10,7.5,0.11
484,83.08,Arabica,Bourbon,Brazil,Washed / Wet,2015,7.58,7.83,7.67,7.42,7.42,7.5,10,10,10,7.67,0
485,83.08,Arabica,Catuai,Costa Rica,Washed / Wet,2014,7.83,7.33,7.5,7.67,7.58,7.67,10,10,10,7.5,0.1
486,83.08,Arabica,Hawaiian Kona,United States (Hawaii),Natural / Dry,2013,7.33,7.75,7.58,7.33,7.83,7.67,10,10,10,7.58,0.12
487,83.08,Arabica,Typica,Taiwan,Other,2014,7.75,7.75,7.5,7.5,7.5,7.5,10,10,10,7.58,0.11
488,83.08,Arabica,Hawaiian Kona,United States (Hawaii),Natural / Dry,2012,7.83,7.83,7.33,7.17,7.75,7.67,10,10,10,7.5,0.1
489,83.08,Arabica,Other,Mexico,Washed / Wet,2012,7.75,7.67,7.42,7.75,7.5,7.5,10,10,10,7.5,0.1
490,83.08,Arabica,Hawaiian Kona,United States (Hawaii),Natural / Dry,2012,7.67,7.58,7.5,7.67,7.92,8,9.33,9.33,10,8.08,0
491,83.08,Arabica,Hawaiian Kona,United States (Hawaii),Washed / Wet,2012,7.33,7.58,7.58,7.92,7.67,7.58,10,10,10,7.42,0.12
492,83.08,Arabica,Caturra,Colombia,Washed / Wet,2012,7.33,7.33,7.33,7.58,7.25,8.08,10,10,10,8.17,0.01
493,83.08,Arabica,Caturra,Colombia,Washed / Wet,2010,7.83,7.75,7.33,7.25,7.42,7.92,10,10,10,7.58,0.08
494,83.08,Arabica,Caturra,Others,Washed / Wet,2010,7.67,7.58,7.5,7.58,7.67,7.58,10,10,10,7.5,0
495,83.08,Arabica,Caturra,Guatemala,Washed / Wet,2012,7.92,7.67,7.67,7.25,7.83,7.67,9.33,10,10,7.75,0.02
496,83,Arabica,Bourbon,Brazil,Natural / Dry,2018,7.58,7.5,7.5,7.75,7.67,7.5,10,10,10,7.5,0
497,83,Arabica,Bourbon,Brazil,Natural / Dry,2016,7.5,7.58,7.58,7.67,7.58,7.5,10,10,10,7.58,0.11
498,83,Arabica,Bourbon,Brazil,Natural / Dry,2016,7.5,7.67,7.58,7.67,7.58,7.42,10,10,10,7.58,0.11
499,83,Arabica,Bourbon,Uganda,Washed / Wet,2015,7.67,7.58,7.42,7.42,7.83,7.5,10,10,10,7.58,0.12
500,83,Arabica,Bourbon,Uganda,Natural / Dry,2015,7.67,7.67,7.5,7.58,7.42,7.5,10,10,10,7.67,0.12
501,83,Arabica,Caturra,Colombia,Washed / Wet,2016,7.67,7.67,7.33,7.67,7.5,7.58,10,10,10,7.58,0.11
502,83,Arabica,Caturra,Others,Other,2014,7.75,7.67,7.58,7.58,7.42,7.67,9.33,10,10,8,0
503,83,Arabica,Catuai,Guatemala,Washed / Wet,2015,7.67,7.75,7.33,7.92,7.42,7.5,10,10,10,7.42,0.11
504,83,Arabica,Catuai,Guatemala,Washed / Wet,2015,7.75,7.67,7.33,7.75,7.5,7.42,10,10,10,7.58,0.11
505,83,Arabica,Bourbon,Guatemala,Washed / Wet,2015,7.83,7.67,7.25,7.67,7.75,7.5,10,10,10,7.33,0.11
506,83,Arabica,Catuai,Brazil,Natural / Dry,2014,7.67,7.67,7.67,7.5,7.42,7.5,10,10,10,7.58,0
507,83,Arabica,Typica,Taiwan,Washed / Wet,2014,7.92,7.92,7.83,7.58,7.33,7.25,10,10,10,7.17,0.08
508,83,Arabica,Other,Uganda,Washed / Wet,2013,7.83,7.58,7.5,7.5,7.58,7.5,10,10,10,7.5,0.12
509,83,Arabica,Other,Others,Washed / Wet,2013,7.67,7.5,7.67,7.83,7.75,7.83,10,10,9.33,7.42,0
510,83,Arabica,Bourbon,Guatemala,Washed / Wet,2014,7.67,7.67,7.42,7.83,7.5,7.5,10,10,10,7.42,0.1
511,83,Arabica,Catuai,Costa Rica,Washed / Wet,2013,7.67,7.58,7.5,7.58,7.5,7.5,10,10,10,7.67,0.11
512,83,Arabica,Yellow Bourbon,Brazil,Semi-washed / Semi-pulped,2014,7.75,7.58,7.42,7.67,7.42,7.67,10,10,10,7.5,0.12
513,83,Arabica,Caturra,Colombia,Washed / Wet,2013,7.75,7.42,7.33,7.5,7.58,7.17,10,10,10,8.25,0.11
514,83,Arabica,Caturra,Colombia,Washed / Wet,2013,7.83,7.5,7.58,7.33,7.5,7.67,10,10,10,7.58,0
515,83,Arabica,Caturra,Colombia,Natural / Dry,2013,7.33,7.67,7.75,7.42,7.75,7.58,10,10,10,7.5,0.11
516,83,Arabica,Caturra,Colombia,Natural / Dry,2013,7.58,7.75,7.42,7.67,7.58,7.42,10,10,10,7.58,0
517,83,Arabica,Caturra,Colombia,Washed / Wet,2012,7.5,7.5,7.42,7.58,7.75,7.58,10,10,10,7.67,0.11
518,83,Arabica,Typica,Mexico,Washed / Wet,2012,7.67,7.58,7.42,7.5,7.67,7.58,10,10,10,7.58,0.11
519,83,Arabica,Typica,Mexico,Semi-washed / Semi-pulped,2012,7.67,7.83,7.5,7.58,7.58,7.67,9.33,10,10,7.83,0.11
520,83,Arabica,Bourbon,Mexico,Washed / Wet,2012,7.5,7.67,7.5,7.5,7.58,7.58,10,10,10,7.67,0.11
521,83,Arabica,Other,Colombia,Natural / Dry,2012,7.67,7.58,7.5,7.5,7.75,7.5,10,10,10,7.5,0
522,83,Arabica,Caturra,Colombia,Washed / Wet,2012,7.75,7.58,7.5,7.67,7.83,7.75,9.33,10,10,7.58,0
523,83,Arabica,Caturra,Colombia,Washed / Wet,2012,7.67,7.58,7.58,7.58,7.67,7.42,10,10,10,7.5,0.11
524,83,Arabica,Bourbon,Guatemala,Washed / Wet,2012,7.5,7.67,7.5,7.67,7.5,7.83,10,10,10,7.33,0.1
525,83,Arabica,Caturra,Colombia,Washed / Wet,2011,7.67,7.67,7.58,7.5,7.67,7.42,10,10,10,7.5,0.12
526,83,Arabica,Caturra,Thailand,Washed / Wet,2011,7.33,7.67,7.58,7.5,7.75,7.67,10,10,10,7.5,0.28
527,83,Arabica,Caturra,Colombia,Washed / Wet,2012,7.33,7.67,7.58,7.33,7.58,7.92,10,10,10,7.58,0.08
528,83,Arabica,Caturra,United States (Hawaii),Washed / Wet,2012,7.83,7.83,7.67,7.83,7.92,7.83,9.33,9.33,9.33,8.08,0
529,83,Arabica,Caturra,United States (Hawaii),Washed / Wet,2012,7.5,7.58,7.42,7.58,7.58,7.67,10,10,10,7.67,0
530,83,Arabica,Caturra,Colombia,Washed / Wet,2011,7.5,7.58,7.67,7.67,7.58,7.58,10,10,10,7.42,0.06
531,83,Arabica,Caturra,Others,Washed / Wet,2010,7.58,7.83,7.75,7.92,7.92,8.08,9.33,9.33,9.33,7.92,0.07
532,83,Arabica,Caturra,Thailand,Washed / Wet,2012,7.5,7.25,7.42,7.75,8.17,7.5,10,10,10,7.42,0
533,82.92,Arabica,Bourbon,Brazil,Natural / Dry,2018,7.67,7.58,7.5,7.58,7.58,7.5,10,10,10,7.5,0
534,82.92,Arabica,Bourbon,Others,Washed / Wet,2017,7.5,7.5,7.75,7.58,7.92,7.83,10,10,9.33,7.5,0
535,82.92,Arabica,Caturra,Colombia,Washed / Wet,2017,7.58,7.67,7.5,7.33,7.67,7.58,10,10,10,7.58,0.11
536,82.92,Arabica,Caturra,Taiwan,Natural / Dry,2016,7.17,7.83,7.25,7.67,7.67,7.58,10,10,10,7.75,0.09
537,82.92,Arabica,Other,Ethiopia,Washed / Wet,2016,7.58,7.58,7.5,7.5,7.58,7.58,10,10,10,7.58,0
538,82.92,Arabica,Typica,Taiwan,Natural / Dry,2014,7.5,7.58,7.67,7.33,7.5,7.75,10,10,10,7.58,0
539,82.92,Arabica,Other,Others,Washed / Wet,2015,7.58,7.58,7.67,7.58,7.5,7.5,10,10,10,7.5,0.11
540,82.92,Arabica,Other,Others,Washed / Wet,2014,8.08,7.5,7.67,7.42,7.33,7.5,10,10,10,7.42,0
541,82.92,Arabica,Typica,Mexico,Natural / Dry,2015,7.83,7.67,7.25,7.58,7.5,7.5,10,10,10,7.58,0.13
542,82.92,Arabica,Bourbon,Mexico,Washed / Wet,2015,7.75,7.67,7.42,7.42,7.75,7.5,10,10,10,7.42,0.12
543,82.92,Arabica,Other,Brazil,Semi-washed / Semi-pulped,2015,7.08,7.5,7.5,7.83,7.75,7.67,10,10,10,7.58,0.11
544,82.92,Arabica,Other,Uganda,Washed / Wet,2013,8,7.5,7.5,7.58,7.33,7.42,10,10,10,7.58,0.12
545,82.92,Arabica,Other,Uganda,Washed / Wet,2013,7.75,7.58,7.58,7.5,7.5,7.5,10,10,10,7.5,0.12
546,82.92,Arabica,Bourbon,Guatemala,Washed / Wet,2014,7.75,7.5,7.42,7.58,7.67,7.5,10,10,10,7.5,0.1
547,82.92,Arabica,Caturra,Guatemala,Natural / Dry,2014,7.67,7.83,7.42,7.5,7.33,7.5,10,10,10,7.67,0.1
548,82.92,Arabica,Caturra,Guatemala,Washed / Wet,2012,7.58,7.58,7.25,7.58,7.58,7.58,10,10,10,7.75,0.1
549,82.92,Arabica,Caturra,Colombia,Washed / Wet,2013,7.58,7.5,7.75,7.33,7.58,7.58,10,10,10,7.58,0.11
550,82.92,Arabica,Caturra,Colombia,Natural / Dry,2013,7.75,7.5,7.25,7.5,7.75,7.5,10,10,10,7.67,0
551,82.92,Arabica,Bourbon,Guatemala,Washed / Wet,2013,7.83,7.75,7.25,7.92,7.5,7.17,10,10,10,7.5,0.11
552,82.92,Arabica,Other,Colombia,Washed / Wet,2013,7.83,7.67,7.42,7.42,7.5,7.58,10,10,10,7.5,0.11
553,82.92,Arabica,Typica,Mexico,Natural / Dry,2012,7.58,7.58,7.33,7.25,7.58,7.75,10,10,10,7.83,0.1
554,82.92,Arabica,Other,Others,Natural / Dry,2012,7.67,7.33,7.17,7.58,8.08,7.42,10,10,10,7.67,0
555,82.92,Arabica,Typica,Mexico,Washed / Wet,2012,8,7.92,7.67,7.17,7.67,7.42,9.33,10,10,7.75,0.14
556,82.92,Arabica,Hawaiian Kona,United States (Hawaii),Washed / Wet,2012,7.5,7.5,7.5,7.42,7.67,7.83,10,10,10,7.5,0.1
557,82.92,Arabica,Caturra,Colombia,Washed / Wet,2011,7.5,7.75,7.33,7.75,7.08,7.83,10,10,10,7.67,0.15
558,82.92,Arabica,Caturra,Thailand,Washed / Wet,2012,7.42,7.58,7.5,7.17,7.5,8,10,10,10,7.75,0
559,82.83,Arabica,Other,Others,Washed / Wet,2017,7.75,7.58,7.42,7.58,7.5,7.5,10,10,10,7.5,0.1
560,82.83,Arabica,Bourbon,Guatemala,Washed / Wet,2017,7.5,7.58,7.33,7.67,7.58,7.58,10,10,10,7.58,0.11
561,82.83,Arabica,Yellow Bourbon,Brazil,Pulped natural / honey,2015,7.67,7.58,7.58,7.5,7.5,7.42,10,10,10,7.58,0.11
562,82.83,Arabica,Other,Others,Washed / Wet,2016,7.33,7.67,7.67,7.83,7.33,7.67,10,10,10,7.33,0
563,82.83,Arabica,Bourbon,Others,Washed / Wet,2015,7.83,7.92,7.75,7.83,7.75,7.75,9.33,9.33,9.33,8,0.11
564,82.83,Arabica,Other,Others,Other,2014,7.25,7.58,7.5,7.42,7.75,7.42,10,10,10,7.92,0.11
565,82.83,Arabica,Bourbon,Guatemala,Washed / Wet,2015,7.58,7.58,7.33,7.67,7.67,7.5,10,10,10,7.5,0.11
566,82.83,Arabica,Catuai,Brazil,Natural / Dry,2015,7.58,7.83,7.33,7.67,7.42,7.33,10,10,10,7.67,0.12
567,82.83,Arabica,Other,Colombia,Washed / Wet,2014,7.83,7.67,7.5,7.58,7.5,7.67,10,10,10,7.08,0
568,82.83,Arabica,Other,Others,Other,2014,7.42,7.58,7.25,7.5,7.75,7.75,10,10,10,7.58,0
569,82.83,Arabica,Bourbon,Guatemala,Washed / Wet,2014,7.67,7.67,7.75,7.67,7.42,7.17,10,10,10,7.5,0.1
570,82.83,Arabica,Typica,Colombia,Natural / Dry,2013,7.5,7.42,7.58,7.5,7.58,7.58,10,10,10,7.67,0
571,82.83,Arabica,Caturra,Colombia,Washed / Wet,2013,7.83,7.5,7.5,7.42,7.5,7.5,10,10,10,7.58,0.11
572,82.83,Arabica,Other,"Tanzania, United Republic Of",Washed / Wet,2012,7.67,7.5,7.33,7.25,7.58,7.75,10,10,10,7.75,0.11
573,82.83,Arabica,Caturra,Mexico,Washed / Wet,2012,7.58,7.67,7.5,7.58,7.5,7.5,10,10,10,7.5,0.12
574,82.83,Arabica,Bourbon,Mexico,Washed / Wet,2012,7.67,7.58,7.42,7.75,7.42,7.42,10,10,10,7.58,0.12
575,82.83,Arabica,Bourbon,Guatemala,Washed / Wet,2012,7.67,7.67,7.33,7.5,7.33,7.92,10,10,10,7.42,0.11
576,82.83,Arabica,Typica,Mexico,Washed / Wet,2012,7.58,7.58,7.5,7.42,7.67,7.58,10,10,10,7.5,0.11
577,82.83,Arabica,Caturra,Others,Washed / Wet,2011,7.75,7.58,7.75,7.75,7.25,7.5,10,10,10,7.25,0
578,82.75,Arabica,Caturra,Guatemala,Washed / Wet,2012,7.5,7.58,7.42,7.67,7.58,7.5,10,10,10,7.5,0.1
579,82.75,Arabica,Caturra,Guatemala,Washed / Wet,2017,7.58,7.67,7.5,7.58,7.5,7.42,10,10,10,7.5,0.11
580,82.75,Arabica,Bourbon,Guatemala,Washed / Wet,2017,7.5,7.67,7.17,7.67,7.67,7.58,10,10,10,7.5,0.11
581,82.75,Arabica,Bourbon,Guatemala,Washed / Wet,2017,7.5,7.5,7.42,7.58,7.67,7.5,10,10,10,7.58,0.1
582,82.75,Arabica,Bourbon,Guatemala,Washed / Wet,2017,7.42,7.58,7.42,7.67,7.5,7.5,10,10,10,7.67,0.1
583,82.75,Arabica,Other,Others,Other,2017,7.5,7.58,7.42,7.58,7.58,7.5,10,10,10,7.58,0.12
584,82.75,Arabica,Bourbon,Guatemala,Washed / Wet,2017,7.58,7.58,7.33,7.58,7.33,7.67,10,10,10,7.67,0.12
585,82.75,Arabica,Yellow Bourbon,Taiwan,Natural / Dry,2016,7.83,7.67,7.33,7.67,7.58,7.67,9.33,10,10,7.67,0
586,82.75,Arabica,Bourbon,Others,Washed / Wet,2017,7.67,7.67,7.17,7.33,7.58,7.67,10,10,10,7.67,0
587,82.75,Arabica,Caturra,Costa Rica,Washed / Wet,2016,7.58,7.5,7.42,7.67,7.42,7.5,10,10,10,7.67,0.09
588,82.75,Arabica,Caturra,Honduras,Natural / Dry,2017,7.58,7.5,7.42,7.58,7.5,7.5,10,10,10,7.67,0.09
589,82.75,Arabica,Yellow Bourbon,Brazil,Pulped natural / honey,2015,7.5,7.5,7.58,7.5,7.58,7.58,10,10,10,7.5,0.11
590,82.75,Arabica,Other,Others,Natural / Dry,2015,7.67,7.5,7.33,7.33,7.67,7.67,10,10,10,7.58,0.1
591,82.75,Arabica,Other,Others,Washed / Wet,2015,7.5,7.67,7.42,7.67,7.5,7.5,10,10,10,7.5,0.11
592,82.75,Arabica,Caturra,Colombia,Washed / Wet,2014,7.5,7.58,7.58,7.75,7.33,7.5,10,10,10,7.5,0
593,82.75,Arabica,Other,Others,Washed / Wet,2014,7.75,7.58,7.42,7.5,7.33,7.5,10,10,10,7.67,0.12
594,82.75,Arabica,Other,Guatemala,Washed / Wet,2014,7.75,7.42,7.25,7.75,7.5,7.67,10,10,10,7.42,0.13
