Unnamed: 0,total_cup_points,species,variety,country_of_origin,processing_method,harvest_year,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture
75,85.33,Arabica,Other,Others,Natural / Dry,2015,8,8,8,7.83,7.83,7.75,10,10,10,7.92,0.1
76,85.33,Arabica,Other,Guatemala,Natural / Dry,2014,7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,0.11
77,85.33,Arabica,Caturra,Costa Rica,Washed / Wet,2014,7.92,8.08,8,7.92,8,8.08,10,10,9.33,8,0
78,85.33,Arabica,Caturra,Costa Rica,Washed / Wet,2014,8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92,0.1
79,85.33,Arabica,Other,Others,Washed / Wet,2012,7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,7.92,0
80,85.33,Arabica,Other,Others,Washed / Wet,2012,8,7.92,7.92,8.08,7.83,7.75,10,10,10,7.83,0
81,85.33,Arabica,Caturra,Ethiopia,Washed / Wet,2010,7.83,7.83,7.92,8.08,7.75,7.83,10,10,10,8.08,0.05
82,85.33,Arabica,Typica,Ethiopia,Washed / Wet,2010,7.92,7.83,7.75,8.33,7.75,7.75,10,10,10,8,0.1
83,85.25,Arabica,Bourbon,Guatemala,Washed / Wet,2016,8,7.92,7.75,8,7.92,7.83,10,10,10,7.83,0.1
84,85.25,Arabica,Caturra,Colombia,Washed / Wet,2015,8.17,7.92,7.83,8,7.58,7.83,10,10,10,7.92,0.11
85,85.25,Arabica,Caturra,Colombia,Natural / Dry,2014,7.58,8.08,7.92,7.83,8,7.92,10,10,10,7.92,0.12
86,85.17,Arabica,Other,Others,Semi-washed / Semi-pulped,2012,7.75,7.83,7.67,8,8.08,7.83,10,10,10,8,0.11
87,85.17,Arabica,Caturra,Guatemala,Washed / Wet,2012,8.25,8,7.67,7.92,7.75,7.67,10,10,10,7.92,0
88,85.08,Arabica,Other,Ethiopia,Natural / Dry,2016,7.75,8,7.58,8,8,7.92,10,10,10,7.83,0.11
89,85.08,Arabica,Caturra,Colombia,Natural / Dry,2015,8.17,7.83,7.58,8.08,8,7.75,10,10,10,7.67,0
90,85.08,Arabica,Caturra,Ethiopia,Natural / Dry,2014,8.42,8,7.42,8,7.92,7.92,9.33,10,10,8.08,0.1
91,85.08,Arabica,Hawaiian Kona,United States (Hawaii),Natural / Dry,2014,7.58,7.83,7.83,7.92,7.83,8.17,10,10,10,7.92,0.11
92,85.08,Arabica,Caturra,Colombia,Natural / Dry,2012,7.83,8,7.75,7.75,7.83,7.83,10,10,10,8.08,0.11
93,85.08,Arabica,Caturra,United States (Hawaii),Washed / Wet,2011,8.08,8.17,7.92,8,8.08,8,9.33,9.33,10,8.17,0.01
94,85.08,Arabica,Caturra,Ethiopia,Washed / Wet,2010,7.67,8,7.83,8,7.92,7.83,10,10,10,7.83,0
95,85.08,Arabica,Caturra,United States (Hawaii),Washed / Wet,2012,7.5,7.92,8.25,7.83,7.92,7.75,10,10,10,7.92,0
96,85,Arabica,Other,Uganda,Washed / Wet,2016,8.17,7.92,7.75,7.75,7.67,7.75,10,10,10,8,0.11
97,85,Arabica,Caturra,Colombia,Washed / Wet,2016,8,7.92,7.75,7.92,7.75,7.83,10,10,10,7.83,0
98,85,Arabica,Catuai,Costa Rica,Washed / Wet,2016,7.83,8,7.58,7.92,7.92,7.83,10,10,10,7.92,0.12
